,"Year","SDDOT_Traffic_Count","Official_Attendance"
0,1990-01-01,528676,400000
1,1999-01-01,539475,325000
2,2000-01-01,604441,633000
3,2001-01-01,530667,410000
4,2002-01-01,561752,450000
5,2003-01-01,605140,502000
6,2004-01-01,547370,514951
7,2005-01-01,524656,525250
8,2006-01-01,449527,456968
9,2007-01-01,461507,507234
10,2008-01-01,405475,414917
11,2009-01-01,394009,442163
12,2010-01-01,459968,466769
13,2011-01-01,415367,416727
14,2013-01-01,516378,
15,2015-01-01,1000000,739000
16,2016-01-01,360000,455000
17,2017-01-01,422566.5,480000
18,2018-01-01,505969,
19,2019-01-01,499654, 490000
20,2020-01-01,462000
